,LOCATION,TIME,Value
0,BEL,2019-01,5.6
1,BEL,2019-02,5.5
2,BEL,2019-03,5.5
3,BEL,2019-04,5.5
4,BEL,2019-05,5.5
5,BEL,2019-06,5.4
6,BEL,2019-07,5.3
7,BEL,2019-08,5.2
8,BEL,2019-09,5.2
9,BEL,2019-10,5.2
10,BEL,2019-11,5.2
11,BEL,2019-12,5.2
12,BEL,2020-01,5.1
13,BEL,2020-02,5.0
14,BEL,2020-03,4.9
15,BEL,2020-04,4.9
16,BEL,2020-05,4.9
17,BEL,2020-06,5.4
18,BEL,2020-07,6.0
19,BEL,2020-08,6.5
20,BEL,2020-09,6.4
21,BEL,2020-10,6.0
22,BEL,2020-11,5.8
23,BEL,2020-12,5.7
24,BEL,2021-01,5.6
25,BEL,2021-02,5.7
26,BEL,2021-03,5.8
27,DNK,2019-01,5.3
28,DNK,2019-02,5.2
29,DNK,2019-03,5.5
30,DNK,2019-04,5.2
31,DNK,2019-05,5.0
32,DNK,2019-06,4.6
33,DNK,2019-07,4.6
34,DNK,2019-08,4.8
35,DNK,2019-09,5.1
36,DNK,2019-10,5.2
37,DNK,2019-11,5.1
38,DNK,2019-12,4.9
39,DNK,2020-01,5.0
40,DNK,2020-02,5.0
41,DNK,2020-03,4.9
42,DNK,2020-04,4.9
43,DNK,2020-05,5.5
44,DNK,2020-06,6.0
45,DNK,2020-07,6.3
46,DNK,2020-08,6.2
47,DNK,2020-09,6.0
48,DNK,2020-10,6.0
49,DNK,2020-11,5.9
50,DNK,2020-12,6.0
51,DNK,2021-01,6.0
52,DNK,2021-02,6.0
53,DNK,2021-03,6.0
54,FRA,2019-01,8.7
55,FRA,2019-02,8.7
56,FRA,2019-03,8.6
57,FRA,2019-04,8.5
58,FRA,2019-05,8.5
59,FRA,2019-06,8.5
60,FRA,2019-07,8.5
61,FRA,2019-08,8.5
62,FRA,2019-09,8.4
63,FRA,2019-10,8.3
64,FRA,2019-11,8.2
65,FRA,2019-12,8.2
66,FRA,2020-01,8.2
67,FRA,2020-02,7.7
68,FRA,2020-03,7.4
69,FRA,2020-04,7.4
70,FRA,2020-05,6.8
71,FRA,2020-06,7.3
72,FRA,2020-07,8.8
73,FRA,2020-08,9.3
74,FRA,2020-09,9.3
75,FRA,2020-10,8.5
76,FRA,2020-11,8.1
77,FRA,2020-12,7.8
78,FRA,2021-01,7.9
79,FRA,2021-02,8.0
80,FRA,2021-03,7.9
81,JPN,2019-01,2.5
82,JPN,2019-02,2.4
83,JPN,2019-03,2.5
84,JPN,2019-04,2.4
85,JPN,2019-05,2.3
86,JPN,2019-06,2.3
87,JPN,2019-07,2.3
88,JPN,2019-08,2.3
89,JPN,2019-09,2.4
90,JPN,2019-10,2.4
91,JPN,2019-11,2.3
92,JPN,2019-12,2.2
93,JPN,2020-01,2.4
94,JPN,2020-02,2.4
95,JPN,2020-03,2.5
96,JPN,2020-04,2.6
97,JPN,2020-05,2.8
98,JPN,2020-06,2.8
99,JPN,2020-07,2.9
100,JPN,2020-08,3.0
101,JPN,2020-09,3.0
102,JPN,2020-10,3.1
103,JPN,2020-11,3.0
104,JPN,2020-12,3.0
105,JPN,2021-01,2.9
106,JPN,2021-02,2.9
107,JPN,2021-03,2.6
108,POL,2019-01,3.8
109,POL,2019-02,3.8
110,POL,2019-03,3.6
111,POL,2019-04,3.4
112,POL,2019-05,3.3
113,POL,2019-06,3.3
114,POL,2019-07,3.2
115,POL,2019-08,3.1
116,POL,2019-09,3.1
117,POL,2019-10,3.0
118,POL,2019-11,2.9
119,POL,2019-12,2.9
120,POL,2020-01,3.0
121,POL,2020-02,3.0
122,POL,2020-03,3.0
123,POL,2020-04,3.1
124,POL,2020-05,3.3
125,POL,2020-06,3.4
126,POL,2020-07,3.4
127,POL,2020-08,3.3
128,POL,2020-09,3.3
129,POL,2020-10,3.2
130,POL,2020-11,3.2
131,POL,2020-12,3.2
132,POL,2021-01,3.1
133,POL,2021-02,3.1
134,POL,2021-03,3.1
135,TUR,2019-01,13.4
136,TUR,2019-02,13.6
137,TUR,2019-03,13.8
138,TUR,2019-04,13.8
139,TUR,2019-05,13.9
140,TUR,2019-06,13.9
141,TUR,2019-07,14.2
142,TUR,2019-08,14.1
143,TUR,2019-09,13.9
144,TUR,2019-10,13.6
145,TUR,2019-11,13.2
146,TUR,2019-12,13.1
147,TUR,2020-01,12.6
148,TUR,2020-02,12.6
149,TUR,2020-03,12.9
150,TUR,2020-04,13.6
151,TUR,2020-05,14.0
152,TUR,2020-06,14.3
153,TUR,2020-07,13.8
154,TUR,2020-08,13.3
155,TUR,2020-09,12.7
156,TUR,2020-10,12.9
157,TUR,2020-11,12.9
158,TUR,2020-12,12.5
159,TUR,2021-01,12.2
160,GBR,2019-01,3.941531
161,GBR,2019-02,3.817801
162,GBR,2019-03,3.830274
163,GBR,2019-04,3.795611
164,GBR,2019-05,3.892838
165,GBR,2019-06,3.797049
166,GBR,2019-07,3.862741
167,GBR,2019-08,3.833198
168,GBR,2019-09,3.757134
169,GBR,2019-10,3.818563
170,GBR,2019-11,3.768513
171,GBR,2019-12,3.912849
172,GBR,2020-01,3.961213
173,GBR,2020-02,3.972413
174,GBR,2020-03,3.995074
175,GBR,2020-04,4.054801
176,GBR,2020-05,4.054711
177,GBR,2020-06,4.252618
178,GBR,2020-07,4.462407
179,GBR,2020-08,4.756812
180,GBR,2020-09,4.944243
181,GBR,2020-10,5.038247
182,GBR,2020-11,5.109324
183,GBR,2020-12,4.996903
184,GBR,2021-01,4.911003
185,GBR,2021-02,4.760189
186,USA,2019-01,4.0
187,USA,2019-02,3.8
188,USA,2019-03,3.8
189,USA,2019-04,3.7
190,USA,2019-05,3.7
191,USA,2019-06,3.6
192,USA,2019-07,3.6
193,USA,2019-08,3.7
194,USA,2019-09,3.5
195,USA,2019-10,3.6
196,USA,2019-11,3.6
197,USA,2019-12,3.6
198,USA,2020-01,3.5
199,USA,2020-02,3.5
200,USA,2020-03,4.4
201,USA,2020-04,14.8
202,USA,2020-05,13.3
203,USA,2020-06,11.1
204,USA,2020-07,10.2
205,USA,2020-08,8.4
206,USA,2020-09,7.8
207,USA,2020-10,6.9
208,USA,2020-11,6.7
209,USA,2020-12,6.7
210,USA,2021-01,6.3
211,USA,2021-02,6.2
212,USA,2021-03,6.0
213,USA,2021-04,6.1
